country,category,alcohol_100g,brands,brands_tags,carbohydrates_100g,categories,categories_tags,code,countries,countries_tags,energy-kcal_100g,energy-kj_100g,fat_100g,fiber_100g,ingredients_text,no_nutrition_data,nova_group,nutriscore_grade,nutriscore_score,origins,origins_tags,product_name,proteins_100g,quantity,salt_100g,saturated-fat_100g,serving_size,sodium_100g,sugars_100g,vitamin-a_100g,vitamin-d_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-pp_100g,calcium_100g,potassium_100g,vitamin-b12_100g,vitamin-c_100g,iron_100g,caffeine_100g,pantothenic-acid_100g,fruits-vegetables-nuts_100g,nutriscore_grade_encoded
france,Dairies,,yoplait,['yoplait'],3.6,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Skyrs, Skyrs nature","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:plain-fermented-dairy-desserts', 'en:skyrs', 'en:plain-skyrs']",3329770077003,France,['en:france'],57.0,,0.5,0.0,"Yaourt maigre (Lait écrémé, Poudre de lait écrémé, Ferments lactiques (Lait))",,3.0,a,-5,France,['en:france'],Skyr,9.5,850g,0.14,0.1,100,0.056,3.6,,,,,,,,,,,,,,1
france,Dairies,,"Elle & Vire,Savencia","['elle-vire', 'savencia']",1.5,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages à la crème, en:Fromages, en:Fromages à la crème, en:Produits fermentés, en:Produits laitiers, en:Produits laitiers fermentés","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cream-cheeses', 'en:fromages', 'en:fromages-a-la-creme', 'en:produits-fermentes', 'en:produits-laitiers', 'en:produits-laitiers-fermentes']",3480341000674,France,['en:france'],78.0,,0.2,0.0,"Lait écrémé, sel, ferments lactiques",,3.0,b,1,"France,fr:Lait origine France","['en:france', 'fr:lait-origine-france']",Carré frais 0%,17.5,200g (8x25g),1.5,0.1,1 carr� (25g),0.6,1.5,,,,,,0.17,,,,,,,,2
france,Dairies,,Cheese,['cheese'],0.8,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Fromages,en:Soft cheeses,Fromages de vache,Fromages à pâte molle à croûte fleurie,Fromages de France,Fromages pasteurisés,Fromages à pâte molle à croûte naturelle,Fromages à pâte molle à croûte lavée","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:soft-cheeses', 'en:cow-cheeses', 'en:soft-cheeses-with-bloomy-rind', 'en:french-cheeses', 'en:pasteurized-cheeses', 'en:soft-cheese-with-a-natural-rind', 'en:soft-cheeses-with-washed-rind']",3161711001971,"Égypte,France,Allemagne,Maroc,Espagne,Suisse","['en:egypt', 'en:france', 'en:germany', 'en:morocco', 'en:spain', 'en:switzerland']",333.0,1379.0,30.0,,"pasteurized cow's milk and cream from france, salt, lactic ferments (milk)",,3.0,d,15,France,['en:france'],Caprice des dieux,15.0,300g,1.4,21.0,25g,0.56,0.1,,,,,,0.35,,,,,,,,4
france,Dairies,0.0,"Paysan breton,Le Fromage Fouetté Madame Loïk","['paysan-breton', 'le-fromage-fouette-madame-loik']",3.0,"Zuivelproducten,Gefermenteerde levensmiddelen,Gefermenteerde zuivelproducten,Kazen,Smeerbare producten,Hartige smeerbare producten,Smeerkazen,fr:Fromage fouetté","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cheese-spreads', 'fr:fromage-fouette']",3412290070101,Frankrijk,['en:france'],252.0,1039.0,24.0,0.0,"_Fromage_ frais, sel de Guérande 1,1%",,3.0,d,14,"Frankrijk,fr:Lait de Bretagne,fr:Lait du Pays de Loire,fr:Sel de Guérande","['en:france', 'fr:lait-de-bretagne', 'fr:lait-du-pays-de-loire', 'fr:sel-de-guerande']",Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,5.9,180 g,1.1,17.3,,0.44,3.0,,,,,,,,,,,,,,4
france,Dairies,,"Salakis,Lactalis","['salakis', 'lactalis']",0.8,"Dairies, Fermented foods, Fermented milk products, Cheeses, Fresh cheeses, Sheep's-milk cheeses, Feta-type cheese, en:pasteurized-cheeses","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:fresh-cheeses', 'en:pasteurized-cheeses', 'en:sheep-s-milk-cheeses', 'en:feta-type-cheese']",3023260030928,"Belgique,France,Japon,Suisse","['en:belgium', 'en:france', 'en:japan', 'en:switzerland']",272.0,1126.0,22.8,,sheep cheese,,3.0,d,18,France,['en:france'],Salakis 100% Brebis,15.7,200 g,2.8,16.2,200g,1.12,0.8,,,,,,,,,,,,,,4
france,Dairies,,"Elle & Vire,Savencia","['elle-vire', 'savencia']",2.5,"Dairies, Fermented foods, Fermented milk products, Spreads, Cheeses, Salted spreads, Pasteurized cheeses, Cheese spreads","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:pasteurized-cheeses', 'en:cheese-spreads']",3480341000636,"France,Réunion","['en:france', 'en:reunion']",193.0,802.0,15.0,,"whole milk, cream, salt, lactic ferments,",,3.0,d,12,France,['en:france'],Carré frais,12.0,200 g,1.2,11.0,25 g,0.48,2.5,,,,,,,,,,,,,,4
france,Dairies,,Danone,['danone'],3.9,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Skyrs, Skyrs nature","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:plain-fermented-dairy-desserts', 'en:skyrs', 'en:plain-skyrs']",3033491704642,France,['en:france'],57.0,244.0,0.2,0.0,"Lait écrémé,ferments lactiques (lait)",,3.0,a,-5,France,['en:france'],Skyr,10.0,825 g,0.09,0.1,5 cuill�res � caf�,0.036,3.9,,,,,,,,,,,,,,1
france,Dairies,,St Môret,['st-moret'],3.0,"Dairies, Fermented foods, Fermented milk products, Cheeses, en:cheese-spreads","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cheese-spreads']",3272770098090,Francia,['en:france'],205.0,851.0,17.8,,"_lait_ et _crème_ pasteurisés (Origine: France), protéines du _lait_, sel",,4.0,d,12,France,['en:france'],St Môret,8.3,150 g,1.2,13.2,20 g,0.48,3.0,,,,,,,,,,,,,,4
france,Dairies,,Soignon,['soignon'],1.0,"Dairies, Fermented foods, Fermented milk products, Cheeses, Goat cheeses, Pasteurized cheeses, Bûche de chèvre, Fromages de France, Fromages à pâte molle à croûte naturelle","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:goat-cheeses', 'en:pasteurized-cheeses', 'en:buche-de-chevre', 'en:fromages-de-france', 'en:fromages-a-pate-molle-a-croute-naturelle']",3523230028431,France,['en:france'],291.0,1208.0,23.0,0.0,"goat's milk (origin france), salt, ferments, coagulant,",,3.0,d,14,France,['en:france'],La bûche Sainte-Maure (Poitou-Charentes,20.0,200 g e,1.5,16.0,,0.6,1.0,,,,,,0.13,,,,,,,,4
france,Dairies,,Yoplait,['yoplait'],3.6,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Desserts lactés fermentés nature,Skyrs,Skyrs nature","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:plain-fermented-dairy-desserts', 'en:skyrs', 'en:plain-skyrs']",3329770073265,France,['en:france'],57.0,241.0,0.5,0.5,Yaourt maigre (_Lait_),,1.0,a,-5,France,['en:france'],Skyr,9.5,400 g (4 x 100 g),0.14,0.1,100,0.056,3.6,,,,,,,,,,,,,,1
france,Dairies,0.0,"Président,Lactalis","['president', 'lactalis']",0.0,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Fromages à pâte molle à croûte fleurie, Camemberts, Camemberts au lait de vache, Fromages de France, Fromages pasteurisés, Camemberts au lait pasteurisé de vache","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:soft-cheeses', 'en:cow-cheeses', 'en:soft-cheeses-with-bloomy-rind', 'en:camemberts', 'en:cow-camemberts', 'en:french-cheeses', 'en:pasteurized-cheeses', 'en:camemberts-from-pasteurized-cow-milk']",3228021170039,"France,Belgium","['en:belgium', 'en:france']",269.0,1117.0,21.0,,"LAIT (origine France), ferments lactiques et d'affinage, sel",,3.0,d,14,France,['en:france'],PRESIDENT CAMEMBERT 250g,20.0,0.25 kg,1.4,15.0,30g,0.56,0.0,,,,,,0.43,,,,,,,,4
france,Dairies,,"Cœur de Lion,CF&R,Savencia","['coeur-de-lion', 'cf-r', 'savencia']",1.0,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Fromages à pâte molle à croûte fleurie, Fromages de France, Fromages pasteurisés, Coulommiers","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:soft-cheeses', 'en:cow-cheeses', 'en:soft-cheeses-with-bloomy-rind', 'en:french-cheeses', 'en:pasteurized-cheeses', 'en:coulommiers']",3176582033563,France,['en:france'],283.0,1174.0,23.0,,"_Lait de vache_, sel, ferments (contiennent _lait_).",,3.0,d,14,"France,Normandie","['en:france', 'en:normandy']",Coulommiers Doux et Crémeux,18.0,350 g,1.5,16.0,30g,0.6,0.1,,,,,,0.35,,,,,,,,4
france,Dairies,,"Président,Lactalis","['president', 'lactalis']",0.5,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, en:cooked-pressed-cheeses, Emmentals, Fromages de France, Emmentals français","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cow-cheeses', 'en:hard-cheeses', 'en:emmentaler', 'en:french-cheeses', 'en:french-emmentaler']",3228021170022,France,['en:france'],369.0,1532.0,29.0,0.0,"LAIT pasteurisé de vache , sel, ferments.",,3.0,d,11,France,['en:france'],President emmental coeur de meule 250g,27.0,250 g,0.6,21.0,30g,0.24,0.5,,,,,,0.97,,,,,,,,4
france,Dairies,,"St Moret,Savencia","['st-moret', 'savencia']",3.0,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Produits à tartiner, Fromages, Produits à tartiner salés, Fromages de vache, Fromages de France, Fromages pasteurisés, Fromages à tartiner","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cow-cheeses', 'en:french-cheeses', 'en:pasteurized-cheeses', 'en:cheese-spreads']",3272770097642,France,['en:france'],205.0,851.0,17.8,,"Lait et crème pasteurisés (Origine : France), protéines du lait, sel,",,4.0,d,12,"Lait origine France,Crème origine France","['fr:creme-origine-france', 'fr:lait-origine-france']",Le Goût Primeur format familial,8.3,300 g e,1.2,13.2,20g,0.48,3.0,,,,,,,,,,,,,,4
france,Dairies,,President,['president'],1.0,"Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy spread, Butters, Unsalted butters, Sweet cream butters","['en:dairies', 'en:fats', 'en:spreads', 'en:spreadable-fats', 'en:animal-fats', 'en:milkfat', 'en:dairy-spread', 'en:butters', 'en:unsalted-butters', 'en:sweet-cream-butters']",3155251205500,"France,Germany,Réunion,Switzerland","['en:france', 'en:germany', 'en:reunion', 'en:switzerland']",745.0,3063.0,82.0,,"butter (cream, original eu)",,2.0,e,19,European Union,['en:european-union'],,0.7,250 g,0.03,57.0,10g,0.012,1.0,0.000602,,,,,,,,,,,,,5
france,Dairies,,president,['president'],1.0,"Produits laitiers, Matières grasses, Produits à tartiner, Matières grasses à tartiner, Matières grasses animales, Matière grasse laitière, Produits laitiers à tartiner, Beurres, Beurres doux, Matière grasse de beurre, Beurres de crème douce","['en:dairies', 'en:fats', 'en:spreads', 'en:spreadable-fats', 'en:animal-fats', 'en:milkfat', 'en:dairy-spread', 'en:butters', 'en:unsalted-butters', 'en:butter-fat', 'en:sweet-cream-butters']",3155251205524,"Belgique,France,Polynésie française,Roumanie,Suisse","['en:belgium', 'en:france', 'en:french-polynesia', 'en:romania', 'en:switzerland']",745.0,3063.0,82.0,0.0,_Beurre_ (_crème_ origine UE),,2.0,e,19,Union européenne,['en:european-union'],beurre,0.7,250g,0.03,57.0,,0.012,1.0,0.000602,,,,,,,,,,,,,5
france,Dairies,,"Caprice Des Dieux,Savencia","['caprice-des-dieux', 'savencia']",0.8,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Fromages à pâte molle à croûte fleurie, Fromages pasteurisés, Fromages à pâte molle à croûte naturelle, Fromages à pâte molle à croûte lavée","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:soft-cheeses', 'en:cow-cheeses', 'en:soft-cheeses-with-bloomy-rind', 'en:pasteurized-cheeses', 'en:soft-cheese-with-a-natural-rind', 'en:soft-cheeses-with-washed-rind']",3161711000622,"België,Frankrijk,Luxemburg,Verenigde Staten van Amerika","['en:belgium', 'en:france', 'en:luxembourg', 'en:united-states']",333.0,1379.0,30.0,,"lait de vache pasteurisé de France, sel, ferments lactiques (lait),",,3.0,d,15,Frankrijk,['en:france'],Caprice des dieux,15.3,200g,1.4,21.0,25g,0.56,0.1,,,,,,3.5e-10,,,,,,,,4
france,Dairies,,Kiri,['kiri'],2.0,"Dairies, Fermented foods, Fermented milk products, Cheeses, Fermentierte Lebensmittel, Fermentierte Milch, Fromages pour enfants, Käse, Milchprodukte","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:fermentierte-lebensmittel', 'en:fermentierte-milch', 'en:fromages-pour-enfants', 'en:kase', 'en:milchprodukte']",3073781131888,"Belgien,Frankreich,Deutschland,Luxemburg,Schweiz","['en:belgium', 'en:france', 'en:germany', 'en:luxembourg', 'en:switzerland']",305.0,1260.0,29.0,,"pasteurized fresh milk 53% (origin: france), cream 32% (origin: france), water, milk proteins, milk mineral concentrate, lactic ferments, salt,",,4.0,d,13,,[],Kiri-Käse,9.0,144 g,1.3,19.4,18g,0.52,2.0,,,,,,0.55,,,,,,,,4
france,Dairies,,"Paysan breton,Le Fromage Fouetté Madame Loïk","['paysan-breton', 'le-fromage-fouette-madame-loik']",3.0,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Produits à tartiner, Fromages, Produits à tartiner salés, Fromages à tartiner, Fromages à la crème, Fromage fouetté","['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cheese-spreads', 'en:cream-cheeses', 'fr:fromage-fouette']",3412290070071,"Belgium,France","['en:belgium', 'en:france']",252.0,1039.0,24.0,0.0,"Fromage frais, sel de Guérande 1,1%",,3.0,d,14,France,['en:france'],Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,5.9,320 g,1.1,17.3,,0.44,3.0,,,,,,,,,,,,,,4
